f60dbd906	d84c5f29b	Sat Jul 8 16:21:24 2023 -0600	Fix thinko	commit f60dbd906a4bf89354af1ed0616a61a5099d8c1aAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Sat Jul 8 16:21:24 2023 -0600    Fix thinko        Fixes https://oss-fuzz.com/testcase-detail/4787105656864768
9b5afad49	7cb95c8ab	Thu Apr 27 12:38:44 2023 -0600	[var] Fix assertion	commit 9b5afad49392cd2b661c6517353e0da950d33029Author: Behdad Esfahbod <behdad@behdad.org>Date:   Thu Apr 27 12:38:44 2023 -0600    [var] Fix assertion        Fixes https://oss-fuzz.com/testcase-detail/4861707188305920
2175f5d05	491aa572c	Mon Apr 24 18:11:48 2023 -0600	[subset] Fix inefficient ItemVariationStore subsetting w/ retain_gids.	commit 2175f5d050743317c563ec9414e0f83a47f7fbc4Author: Garret Rieger <grieger@google.com>Date:   Mon Apr 24 21:13:18 2023 +0000    [subset] Fix inefficient ItemVariationStore subsetting w/ retain_gids.        ItemVariationStore is relying on the assumption that the inner_map is populated for all output glyphs, this is not true for subsetting operations with retain gids enabled. Fixes fuzzer timeout: https://oss-fuzz.com/testcase-detail/4575222591520768.
647b02478	3db6baa20	Tue Apr 18 13:21:46 2023 -0600	[subset] Fix fuzzer issue https://oss-fuzz.com/testcase-detail/6521393809588224	commit 647b024784e1346f6886565f570cdf940d7b82b4Author: Garret Rieger <grieger@google.com>Date:   Mon Apr 17 22:47:47 2023 +0000    [subset] Fix fuzzer issue https://oss-fuzz.com/testcase-detail/6521393809588224
2cd81fdfb	453ded053	Thu Mar 30 16:19:41 2023 -0600	[subset] fix memory leak.	commit 2cd81fdfb6ccc6ba7ec63abe14e0126ece71f304Author: Garret Rieger <grieger@google.com>Date:   Thu Mar 30 22:11:43 2023 +0000    [subset] fix memory leak.        Fixes fuzzer issue https://oss-fuzz.com/testcase-detail/6169920089227264
f0f7f2252	79233a149	Tue Mar 21 11:41:09 2023 -0600	[subset] fix fuzzer found null deref.	commit f0f7f22525d20ba05e9b69ba40b352cb89b506aeAuthor: Garret Rieger <grieger@google.com>Date:   Mon Mar 20 18:39:49 2023 +0000    [subset] fix fuzzer found null deref.        https://oss-fuzz.com/testcase-detail/5844352760152064
28b05e1cb	9286e1252	Wed Mar 8 17:02:04 2023 -0700	[subset] Fix memory leak in glyf subset.	commit 28b05e1cb6116b07b95af799ff68b883c3f590d1Author: Garret Rieger <grieger@google.com>Date:   Wed Mar 8 23:59:04 2023 +0000    [subset] Fix memory leak in glyf subset.        Fixes fuzzer issue: https://oss-fuzz.com/testcase-detail/6525813890875392.
552290f60	7327006d6	Wed Mar 8 10:25:26 2023 -0700	[gvar] Fix out-of-memory access issue	commit 552290f60437ceaa5aa299a2db726046c0385f80Author: Behdad Esfahbod <behdad@behdad.org>Date:   Wed Mar 8 10:25:26 2023 -0700    [gvar] Fix out-of-memory access issue        Fixes https://oss-fuzz.com/testcase-detail/5953342850596864
08784baf1	789717387	Thu Mar 2 10:48:30 2023 -0700	[GSUB/GPOS] Fix sanitization in Format1	commit 08784baf101aea472c133dcd67604b475ace3772Author: Behdad Esfahbod <behdad@behdad.org>Date:   Thu Mar 2 10:48:30 2023 -0700    [GSUB/GPOS] Fix sanitization in Format1        Fixes https://oss-fuzz.com/testcase-detail/5120727025319936
64fa5cd48	840e1b6b8	Tue Feb 7 15:52:53 2023 -0700	[GPOS] Fix assert fail introduced recently	commit 64fa5cd482d0be2e215998aa1c2a05b978133e7cAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Tue Feb 7 15:50:36 2023 -0700    [GPOS] Fix assert fail introduced recently        Was introduced in 8708b9e081192786c027bb7f5f23d76dbe5c19e8.        If these lookups are recursed to from (Chain)Context out-of-order,    it was possible that last_base > buffer->idx, in which case we    were attaching marks to a base after them... and an assertion    was failing fortunately.        Fixes https://oss-fuzz.com/testcase-detail/6377756666757120
b63159e8b	be8a87c45	Sat Jan 21 15:51:40 2023 -0700	[PairPosFormat1] Fix stride	commit b63159e8bf579345a6f56d04ad1b2c28eee66bacAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Sat Jan 21 15:50:48 2023 -0700    [PairPosFormat1] Fix stride        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=55287    and generally the lookup with MediumTypes.
9afe5f973	4f013c42f	Mon Jan 2 11:46:45 2023 -0700	[vector] Fix leak	commit 9afe5f973ea62957542830662f4c61d3ce795678Author: Behdad Esfahbod <behdad@behdad.org>Date:   Mon Jan 2 11:44:29 2023 -0700    [vector] Fix leak        Discovered by https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=54767
35233d251	b17fbc200	Wed Dec 7 10:32:56 2022 -0700	[repacker] fix fuzzer reported stack overflow.	commit 35233d2514cc202e9e2f8f94b3102cb620a0d403Author: Garret Rieger <grieger@google.com>Date:   Wed Dec 7 00:47:28 2022 +0000    [repacker] fix fuzzer reported stack overflow.        Fixes https://oss-fuzz.com/testcase-detail/6014493291577344.
dd1ba328a	59451502e	Mon Nov 21 16:24:48 2022 -0700	[repacker] fix fuzzer timeout.	commit dd1ba328a8d49ff43633eda43013fd5dd1fe2adaAuthor: Garret Rieger <grieger@google.com>Date:   Mon Nov 21 23:20:59 2022 +0000    [repacker] fix fuzzer timeout.        For https://oss-fuzz.com/testcase-detail/5845846876356608. Only process the set of unique overflows.
7fde6ab02	a4e0fd168	Fri Aug 5 15:10:31 2022 -0600	fuzzer fix: https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=49790	commit 7fde6ab02560889c15f573f740b44b0463bcc45cAuthor: Qunxin Liu <qxliu@google.com>Date:   Fri Aug 5 13:33:22 2022 -0700    fuzzer fix: https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=49790
e2cc34e19	241ebc935	Tue Jul 26 12:31:40 2022 -0600	[subset/GPOS] Fix a fuzzer timeout test	commit e2cc34e1908c26efddbfd497b707c712583f8243Author: Behdad Esfahbod <behdad@behdad.org>Date:   Tue Jul 26 12:31:15 2022 -0600    [subset/GPOS] Fix a fuzzer timeout test        Fixes https://oss-fuzz.com/testcase-detail/5234369031176192
4cb83967a	32c85b8c8	Sat Jul 23 11:00:20 2022 -0600	[subset/ClassDefFormat2] Fix timeout	commit 4cb83967aacf0aaf2622fc55539f04eb9ce2b7a0Author: Behdad Esfahbod <behdad@behdad.org>Date:   Sat Jul 23 10:59:42 2022 -0600    [subset/ClassDefFormat2] Fix timeout        Fixes https://oss-fuzz.com/testcase-detail/5417800474165248
32c85b8c8	06c3ec0a1	Sat Jul 23 10:50:26 2022 -0600	[avar2] Fix mapping when coords length don\'t match	commit 32c85b8c8c1994e318dce49b928a7298a0b23560Author: Behdad Esfahbod <behdad@behdad.org>Date:   Sat Jul 23 10:50:26 2022 -0600    [avar2] Fix mapping when coords length don't match        Ouch.        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=49407
89de8c700	faac252f9	Mon Jul 18 13:07:29 2022 -0600	[CoverageFormat2] Another fix for broken tables	commit 89de8c700f16bd50617c20a81b77c6555f3a8988Author: Behdad Esfahbod <behdad@behdad.org>Date:   Mon Jul 18 13:07:29 2022 -0600    [CoverageFormat2] Another fix for broken tables        Fixes https://oss-fuzz.com/testcase-detail/6005342714068992
d8574b44c	b475a2ab2	Sun Jul 17 18:44:27 2022 -0600	[CoverageFormat2] Fix iterator to avoid infinite loop	commit d8574b44ccde97fc7111b4d983f5303e200f0ae8Author: Behdad Esfahbod <behdad@behdad.org>Date:   Sun Jul 17 18:44:27 2022 -0600    [CoverageFormat2] Fix iterator to avoid infinite loop        on invalid data.        Fixes https://oss-fuzz.com/testcase-detail/5304497047470080
311413f16	4ba7980b8	Tue Jun 14 17:49:13 2022 +0100	[subset] Fix fuzzer issue.	commit 311413f16b92a8d5811897b5793ca8a9f218b779Author: Garret Rieger <grieger@google.com>Date:   Sat Jun 11 01:05:57 2022 +0000    [subset] Fix fuzzer issue.        Fixes https://oss-fuzz.com/testcase-detail/5693568490012672. new_index should be set from new_index2 when the entry is present in the map.
b59e25f25	356c1f833	Tue Jun 7 09:27:44 2022 -0600	[cff] Try fixing Heap-buffer-overflow in CFF::Charset::collect_glyph_to_sid_map	commit b59e25f25ef20dddc7e4dff0432c63d1afe287aeAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Tue Jun 7 09:27:09 2022 -0600    [cff] Try fixing Heap-buffer-overflow in CFF::Charset::collect_glyph_to_sid_map        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=47790
73b8360dc	f1bf14ea8	Thu May 19 17:02:34 2022 -0600	[subset] fix fuzzer found underflow when heap push fails.	commit 73b8360dcfb57eaa9acffc7967015a113421eedaAuthor: Garret Rieger <grieger@google.com>Date:   Thu May 19 22:59:51 2022 +0000    [subset] fix fuzzer found underflow when heap push fails.        Fixes https://oss-fuzz.com/testcase-detail/5148625505746944.
b051f3fa8	2884eb97b	Mon May 9 12:25:05 2022 -0600	[subset] Fix cpal subsetting when there are partial palette overlaps.	commit b051f3fa8388d25c7023a7f48dfea415bde1c94cAuthor: Garret Rieger <grieger@google.com>Date:   Thu May 5 23:27:34 2022 +0000    [subset] Fix cpal subsetting when there are partial palette overlaps.        The existing code doesn't correctly handle the case where palettes partially overlap in the color record array. This changes the subsetting to only share entries in the color record array when palettes have the same first color index. Partially overlapping palettes will be converted to disjoint segments in the color record array.        Updates one of the color tests to use multiple palettes.        Also fixes fuzzer: https://oss-fuzz.com/testcase-detail/5568200165687296.
03085132b	116cc6923	Mon Mar 21 18:09:06 2022 -0600	[buffer] Fix out-buffer under memory-alloc failure	commit 03085132bac6bb3f69378cab3eaf5a57ad1362ffAuthor: Behdad Esfahbod <behdad@behdad.org>Date:   Mon Mar 21 18:06:33 2022 -0600    [buffer] Fix out-buffer under memory-alloc failure        This was broken in July refactoring of the buffer, and exposed to    ReverseChainSingleSubstFormat1 in 3807061d634b60bd6235d6e1d8c47a034377f924        Fixes:    https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=38800    https://bugs.chromium.org/p/chromium/issues/detail?id=1303552
067f90a82	c4573c2ec	Tue Dec 14 17:34:21 2021 -0700	[subset] Fix for fuzzer timeout.	commit 067f90a82087a5feb1cf76625c54c60a10946fe1Author: Garret Rieger <grieger@google.com>Date:   Tue Dec 14 16:24:38 2021 -0800    [subset] Fix for fuzzer timeout.        Fixes https://oss-fuzz.com/testcase-detail/5549945449480192        In prune_langsys: move LangSys visited check up before any work is done for a LangSys. In this particular case the compare() method is responsible for the majority of the time spent and wasn't being guarded with a visisted check.
0a7563a53	364b6b398	Tue Nov 2 15:25:18 2021 -0700	[subset] fuzzer fix: https://oss-fuzz.com/testcase?key=6254792024915968	commit 0a7563a53ffedd735cb41c03f697269ef48f0ec2Author: Qunxin Liu <qxliu@google.com>Date:   Mon Nov 1 14:56:14 2021 -0700    [subset] fuzzer fix: https://oss-fuzz.com/testcase?key=6254792024915968        Make sure input is valid, each gid has a corresponding offset value in    the map
85deddb16	de9424172	Wed Oct 27 16:16:15 2021 -0700	[subset] fuzzer fix: https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=40406	commit 85deddb16ee6b00b0c921998e1d93c84002f5a42Author: Qunxin Liu <qxliu@google.com>Date:   Wed Oct 27 14:36:02 2021 -0700    [subset] fuzzer fix: https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=40406
794b00db4	a52c6df38	Wed Sep 29 10:29:06 2021 -0600	[subset] fuzzer fix: https://oss-fuzz.com/testcase-detail/6616166961905664	commit 794b00db4b63e8314aee96c23a20ecb878452eefAuthor: Qunxin Liu <qxliu@google.com>Date:   Mon Sep 27 17:21:16 2021 -0700    [subset] fuzzer fix: https://oss-fuzz.com/testcase-detail/6616166961905664
0ded6a70c	c65e1e084	Wed Jul 28 11:35:27 2021 -0600	[subset] Fix another fuzzer issue	commit 0ded6a70c829284a8220ce30a405b0a974061df4Author: Behdad Esfahbod <behdad@behdad.org>Date:   Wed Jul 28 11:28:38 2021 -0600    [subset] Fix another fuzzer issue        Addition could overflow on 32bit arch.        Fixes https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=36636    Fixes https://oss-fuzz.com/testcase-detail/5072358514753536
c68a00b92	7b8464b65	Tue Jul 27 13:28:09 2021 -0600	[subset] Fix possible overflows in VarRegionList serialize	commit c68a00b92eb62fdc79f9a2bd1fc7a6acc24a3602Author: Behdad Esfahbod <behdad@behdad.org>Date:   Tue Jul 27 13:25:22 2021 -0600    [subset] Fix possible overflows in VarRegionList serialize        Fixes https://oss-fuzz.com/testcase-detail/5362189182566400
7416facee	895acdf7c	Thu Jul 8 09:09:30 2021 -0700	[subset] fuzzer fix: https://oss-fuzz.com/testcase-detail/5715464591376384	commit 7416faceeb7a875ba7316cee124edee2d59ea8d0Author: Qunxin Liu <qxliu@google.com>Date:   Wed Jul 7 11:27:49 2021 -0700    [subset] fuzzer fix: https://oss-fuzz.com/testcase-detail/5715464591376384
35d6af694	92206345a	Fri Jun 4 18:16:23 2021 -0600	[subset] fix fuzzer testcase: https://oss-fuzz.com/testcase-detail/5965777994907648	commit 35d6af69435ff070cee00f7cd9741b3545ca161cAuthor: Qunxin Liu <qxliu@google.com>Date:   Fri Jun 4 10:04:27 2021 -0700    [subset] fix fuzzer testcase: https://oss-fuzz.com/testcase-detail/5965777994907648
1b6008ca6	18f61210a	Wed Jun 2 17:32:16 2021 -0600	fix fuzzer testcase: https://oss-fuzz.com/testcase-detail/5417934246772736	commit 1b6008ca625e0f41cb34259368f91677a110b5ddAuthor: Qunxin Liu <qxliu@google.com>Date:   Wed Jun 2 15:07:18 2021 -0700    fix fuzzer testcase: https://oss-fuzz.com/testcase-detail/5417934246772736
425ba1f4a	ec4321068	Tue Apr 20 13:18:07 2021 -0600	[subset] fixes infinite loop in hb_set_get_max().	commit 425ba1f4ab4fd1ee0245bc822336d26bd1755c52Author: Garret Rieger <grieger@google.com>Date:   Mon Apr 19 18:01:24 2021 -0700    [subset] fixes infinite loop in hb_set_get_max().        Fixes https://oss-fuzz.com/testcase-detail/5363902507515904
ec4321068	0e845d973	Tue Apr 20 13:18:07 2021 -0600	[subset] fix infinite loop caused by alloc failure in repacker.	commit ec4321068b9de1ea2730b8a62dda7cb23d064303Author: Garret Rieger <grieger@google.com>Date:   Mon Apr 19 17:18:05 2021 -0700    [subset] fix infinite loop caused by alloc failure in repacker.        Fixes: https://oss-fuzz.com/testcase-detail/5609112151916544.
0e845d973	3fb62cdc1	Tue Apr 20 13:18:07 2021 -0600	[subset] fix memory leak in repacker caused by failed alloc.	commit 0e845d973e2bf15b56cf68af9db778d1258b7709Author: Garret Rieger <grieger@google.com>Date:   Mon Apr 19 16:09:37 2021 -0700    [subset] fix memory leak in repacker caused by failed alloc.        Fixes: https://oss-fuzz.com/testcase-detail/5616763250278400.
9dc9f0385	430a67cea	Fri Apr 9 11:07:28 2021 -0600	[subset] fix for fuzzer testcase: https://oss-fuzz.com/testcase-detail/5858518134554624	commit 9dc9f0385dce05456d48730bf5dc7cac52eaa4daAuthor: Qunxin Liu <qxliu@google.com>Date:   Thu Apr 8 11:00:17 2021 -0700    [subset] fix for fuzzer testcase: https://oss-fuzz.com/testcase-detail/5858518134554624
553ffaf68	4af5daced	Thu Apr 8 09:54:48 2021 -0600	[subset] fix for fuzzer testcase: https://oss-fuzz.com/testcase-detail/6382598554255360  avoid writing to null pointer	commit 553ffaf6823040bf4a91bcd4c8e42592cd4d13c2Author: Qunxin Liu <qxliu@google.com>Date:   Wed Apr 7 17:15:32 2021 -0700    [subset] fix for fuzzer testcase: https://oss-fuzz.com/testcase-detail/6382598554255360     avoid writing to null pointer
c5c13006a	bd2950b39	Wed Mar 31 12:37:45 2021 -0600	[subset] fix memory leaks found in https://oss-fuzz.com/testcase-detail/5179935334465536	commit c5c13006a1f8e5fb9b28a3c2081e93eb4e5d4c98Author: Garret Rieger <grieger@google.com>Date:   Wed Mar 31 11:23:46 2021 -0700    [subset] fix memory leaks found in https://oss-fuzz.com/testcase-detail/5179935334465536
adca4ce07	9f77a0c1f	Tue Mar 30 15:44:41 2021 -0600	[subset] fixes https://oss-fuzz.com/testcase-detail/6173520787800064.	commit adca4ce071d12998deea6bb53b223daa3aa163c5Author: Garret Rieger <grieger@google.com>Date:   Tue Mar 30 13:20:50 2021 -0700    [subset] fixes https://oss-fuzz.com/testcase-detail/6173520787800064.        Caused by incorrect bounds check in glyph closure for context lookups.
9825e3dd2	45de12893	Wed Sep 2 11:01:07 2020 -0700	[ENOMEM] fix access to unitialized memory. If the serialize() call fails to write the object then we can\'t safely read varstore_prime fields. Fixes https://oss-fuzz.com/testcase-detail/5137462782066688.	commit 9825e3dd2eaea4e267054adebc8d972e1f01cc0dAuthor: Garret Rieger <grieger@google.com>Date:   Wed Aug 26 17:31:50 2020 -0700    [ENOMEM] fix access to unitialized memory.    If the serialize() call fails to write the object then we can't safely read varstore_prime fields. Fixes https://oss-fuzz.com/testcase-detail/5137462782066688.
4ba8e3c6f	d307c24ab	Thu Jul 30 00:08:08 2020 +0430	[ENOMEM] Fix failure to check calloc return. Fixes https://oss-fuzz.com/testcase-detail/6246465148813312.	commit 4ba8e3c6fd34cf0ab5f97e607bac708a978fa9b3Author: Garret Rieger <grieger@google.com>Date:   Wed Jul 29 12:33:42 2020 -0700    [ENOMEM] Fix failure to check calloc return.    Fixes https://oss-fuzz.com/testcase-detail/6246465148813312.
d307c24ab	8b63de110	Thu Jul 30 00:08:08 2020 +0430	[ENOMEM] check resize() return. Fixes https://oss-fuzz.com/testcase-detail/5641892164009984.	commit d307c24abf37b2702706cf9df0fab571a99e2a70Author: Garret Rieger <grieger@google.com>Date:   Wed Jul 29 12:23:37 2020 -0700    [ENOMEM] check resize() return.    Fixes https://oss-fuzz.com/testcase-detail/5641892164009984.
22f7c61ac	f9bc37338	Sat Apr 18 15:42:30 2020 +0430	implement SID to glyph ID mapping with predefined Charset Also fixes oss-fuzz 21769	commit 22f7c61acf8073cb8db8db47e92aef18864a85c6Author: ariza <ariza@adobe.com>Date:   Fri Apr 17 23:49:51 2020 -0700    implement SID to glyph ID mapping with predefined Charset    Also fixes oss-fuzz 21769
0d5695983	57b7de032	Mon Apr 6 13:41:33 2020 +0430	[subset] fixes dangling object_t issue in FeatureVariationRecord Fixes https://crbug.com/oss-fuzz/21560 revert () does not clean up useless object_t. Adjust the order of subsetting substitutions and conditions to avoid dangling object_t.	commit 0d5695983e8bf3184ecd4cb92f737b9dfe5d6d25Author: Qunxin Liu <qxliu@google.com>Date:   Sun Apr 5 18:44:26 2020 -0700    [subset] fixes dangling object_t issue in FeatureVariationRecord    Fixes https://crbug.com/oss-fuzz/21560    revert () does not clean up useless object_t. Adjust the order of    subsetting substitutions and conditions to avoid dangling object_t.
0d729b4b7	6924e29f6	Sat Mar 7 13:20:41 2020 +0330	[avar] Fix out-of-bound read when input is bigger than all the coords	commit 0d729b4b7237934abfca0b5738ad4383f3f22476Author: Ebrahim Byagowi <ebrahim@gnu.org>Date:   Sat Mar 7 11:53:12 2020 +0330    [avar] Fix out-of-bound read when input is bigger than all the coords        'i' shouldn't become equal to array's length which as the increament    is happened at end of the loop, if the input is bigger than all the    table coords, it will be equal to array's length.        Fixes https://crbug.com/oss-fuzz/21092
f253f06cf	d38360397	Tue Mar 3 19:12:04 2020 +0330	[fuzz] Add another fixed case	commit f253f06cf368d74f1ec5d84c6439ae2a571e99f1Author: Ebrahim Byagowi <ebrahim@gnu.org>Date:   Tue Mar 3 18:57:13 2020 +0330    [fuzz] Add another fixed case        https://crbug.com/oss-fuzz/14626        another numerous subtables count which is fixed by d38360397
e57ced5fc	758fda728	Fri Feb 28 23:29:05 2020 +0330	[gvar] Add other possibly fixed fuzzer case	commit e57ced5fc06bd14a579a983db73e94416f6fedf4Author: Ebrahim Byagowi <ebrahim@gnu.org>Date:   Fri Feb 28 23:29:05 2020 +0330    [gvar] Add other possibly fixed fuzzer case        Speculatively should've been fixed by 61208401        https://crbug.com/oss-fuzz/20924 related
8eba66c1c	f44e1dc07	Thu Feb 27 20:26:54 2020 +0330	[gvar] Fix invalid memory access by refactoring GlyphVarData fetch logic	commit 8eba66c1c6d19bcc779a3b4e7b68251511986ee8Author: Ebrahim Byagowi <ebrahim@gnu.org>Date:   Thu Feb 27 15:58:58 2020 +0330    [gvar] Fix invalid memory access by refactoring GlyphVarData fetch logic        Fixes https://crbug.com/oss-fuzz/20906
d0aaba5c5	05a25c1a5	Wed Feb 26 09:35:32 2020 -0800	fixes oss-fuzz 20886	commit d0aaba5c5087781c7231e26fdd190c65baebde95Author: ariza <ariza@adobe.com>Date:   Wed Feb 26 09:35:32 2020 -0800    fixes oss-fuzz 20886        hb_set_t::resize () is needed after compact()
97229244e	7b42403c1	Wed Feb 12 15:41:51 2020 +0330	[fuzzer] Fix hb-set-fuzzer minor overflow issue	commit 97229244ebd2e50ec0021ecd442e3c1c27156a5cAuthor: Ebrahim Byagowi <ebrahim@gnu.org>Date:   Wed Feb 12 15:41:22 2020 +0330    [fuzzer] Fix hb-set-fuzzer minor overflow issue        Size shouldn't be smaller than the struct not its pointer size.        Fixes https://crbug.com/oss-fuzz/20655
1ab3924b3	7633b7695	Thu Jan 23 10:50:52 2020 -0800	refix PR #2087 subset PairPos1	commit 1ab3924b3171b408438f5df6a4d48124d9d1bd68Author: ariza <ariza@adobe.com>Date:   Wed Jan 22 11:20:56 2020 -0800    refix PR #2087 subset PairPos1        also added oss-fuzz 20211 data fixed by this
dc03a993d	a32ecc15a	Sun Jan 12 14:21:29 2020 +0330	Fix collect lookups logic of FeatureTableSubstitution (#2097)	commit dc03a993d0f2b6db7c5cfb11eaa6e8a4f6f274e6Author: Ebrahim Byagowi <ebrahim@gnu.org>Date:   Sun Jan 12 14:21:29 2020 +0330    Fix collect lookups logic of FeatureTableSubstitution (#2097)        https://crbug.com/oss-fuzz/20036
a32ecc15a	1a4c658b4	Sat Jan 11 15:37:24 2020 +0330	Fix collect lookups logic of FeatureVariationRecord	commit a32ecc15aec6518f5a126fb8f3643e563327f74dAuthor: Ebrahim Byagowi <ebrahim@gnu.org>Date:   Sat Jan 11 15:37:24 2020 +0330    Fix collect lookups logic of FeatureVariationRecord        As "Offset to a feature table substitution table, from beginning of the FeatureVariations table."    from https://docs.microsoft.com/en-us/typography/opentype/spec/chapter2 the record should    match its sanitize logic not the reverse way.        Fixes https://crbug.com/oss-fuzz/20021 and https://crbug.com/oss-fuzz/20022
d2ab1ec65	5e55a6d69	Fri Jan 10 07:54:16 2020 +0330	fixes oss-fuzz 19978: Null-dereference READ (#2091)	commit d2ab1ec65b1697b113b2b923c63e300659cf1998Author: Michiharu Ariza <ariza@adobe.com>Date:   Thu Jan 9 20:24:16 2020 -0800    fixes oss-fuzz 19978: Null-dereference READ (#2091)
8ed46c367	341407f7a	Tue Jan 7 23:43:53 2020 +0330	[fuzz] minor, add another already fixed case	commit 8ed46c3678cd4518efe5c9907bb9d22e6161bbd5Author: Ebrahim Byagowi <ebrahim@gnu.org>Date:   Tue Jan 7 23:43:53 2020 +0330    [fuzz] minor, add another already fixed case        https://crbug.com/oss-fuzz/19907
341407f7a	7950beecf	Tue Jan 7 09:10:24 2020 +0330	[fuzz] minor, upload another fixed case	commit 341407f7a52680be84144eb285e6cb09131b2956Author: Ebrahim Byagowi <ebrahim@gnu.org>Date:   Tue Jan 7 09:10:24 2020 +0330    [fuzz] minor, upload another fixed case        https://crbug.com/oss-fuzz/19878
