127ad70782	61d16a6501	Tue Jul 25 17:54:14 2023 +0200	Fix open_basedir leak	commit 127ad70782f9bf5c245a7b55a1c420f2d67b993fAuthor: Ilija Tovilo <ilija.tovilo@me.com>Date:   Mon Jul 24 23:23:32 2023 +0200    Fix open_basedir leak        Fixes oss-fuzz #60741    Closes GH-11780
94b8c2da9f	2ed103f733	Mon Sep 26 12:19:12 2022 +0300	Fixed type inference	commit 94b8c2da9f4fbaf3b2c143ea31c0314bef317da6Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Sep 26 12:19:12 2022 +0300    Fixed type inference        Fixes oss-fuzz #51640
c083efb779	b655451439	Mon Sep 26 12:02:03 2022 +0300	Fix memory leak	commit c083efb779d9bcdaa01da87ae938cf0add9b2f59Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Sep 26 12:02:03 2022 +0300    Fix memory leak        Fixes oss-fuzz #51622
8258b7731b	e488f7b0eb	Mon Sep 26 11:43:38 2022 +0300	Fix memory leak	commit 8258b7731ba8cde929e1f3504577af0a4440cad4Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Sep 26 11:43:38 2022 +0300    Fix memory leak        Fixes oss-fuzz #51622
7496a400aa	4767b0999d	Mon Sep 19 15:45:34 2022 +0300	Fix SSA construction and type inference	commit 7496a400aae122414056f2b1f7294b12b458ae96Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Sep 19 15:45:34 2022 +0300    Fix SSA construction and type inference        Fixes oss-fuzz #51476
8a1f7fa721	54701ea3e7	Mon Sep 19 13:03:24 2022 +0300	Fix memory leak	commit 8a1f7fa7216800e64f3d59b1a9c3285ca048a0feAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Sep 19 13:03:24 2022 +0300    Fix memory leak        Fixes oss-fuzz #51451
81cb005ef7	6aedc5eaf0	Mon Sep 5 12:55:50 2022 +0300	Fix type inference	commit 81cb005ef7787954b4adab3543e3c443f9dd293eAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Sep 5 12:55:50 2022 +0300    Fix type inference        Fixes oss-fuzz #50792
4135e6011c	725cb4e8ad	Mon Aug 29 14:53:48 2022 +0300	Fix memory leak	commit 4135e6011c2831cce29c257c6c46f32184d34d2bAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Aug 29 14:53:48 2022 +0300    Fix memory leak        Fixes oss-fuzz #50616
4b884bedc8	48d2578d41	Mon Aug 29 14:36:16 2022 +0300	JIT: Fix missing type store	commit 4b884bedc8de35ceb90d3e6978be580d5ce89864Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Aug 29 14:36:16 2022 +0300    JIT: Fix missing type store        Fixes oss-fuzz #50653
95befc786a	2a33280ceb	Mon Aug 22 21:11:39 2022 +0300	Fix type inference	commit 95befc786ae89afc5b9b6c6d26fa26883e50ebf0Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Aug 22 21:11:39 2022 +0300    Fix type inference        Fixes oss-fuzz #50272
73c2d79fc5	c9c51eb1f1	Mon Aug 22 17:47:07 2022 +0300	Fix memory leaks	commit 73c2d79fc5a517340cc629c053c6ce0d096afaf7Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Aug 22 17:47:07 2022 +0300    Fix memory leaks        Fixes oss-fuzz #50078
c9c51eb1f1	bb341210f5	Mon Aug 22 15:38:41 2022 +0300	Tracing JIT: Fix incorrect guard elimination	commit c9c51eb1f15117517384ba4e1707af326b3a161bAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Aug 22 15:38:41 2022 +0300    Tracing JIT: Fix incorrect guard elimination        Fixes oss-fuzz #49917
69c10aed58	4b19b85eb6	Mon Aug 1 15:32:49 2022 +0300	Fix incorrect guard motion out of the loop	commit 69c10aed5846f8378a04fd6cd24e4b53dafc52c5Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Aug 1 15:32:49 2022 +0300    Fix incorrect guard motion out of the loop        Fixes oss-fuzz #49579
af1a7b7b72	4147257fc4	Mon Aug 1 14:00:19 2022 +0300	Fix SSA reconstruction when body of "foreach" loop is removed	commit af1a7b7b72de7db01f32e84bdc7ced904cd68b81Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Aug 1 14:00:19 2022 +0300    Fix SSA reconstruction when body of "foreach" loop is removed        Fixes oss-fuzz #49483
d50875c822	e70d282077	Mon Jul 25 15:53:06 2022 +0300	Fix type inference	commit d50875c822a8f37262690f94de803e20f12ad23dAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Jul 25 15:53:06 2022 +0300    Fix type inference        Fixes oss-fuzz #49423 and #49474
e70d282077	cc465ba0bb	Mon Jul 25 15:24:26 2022 +0300	JIT: Fix missing type stote	commit e70d2820774b90af2ce99dbfcd481a8a80e3e44cAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Jul 25 15:24:26 2022 +0300    JIT: Fix missing type stote        Fixes oss-fuzz #49402
44b86aee31	3962f00b01	Mon Jul 25 12:04:46 2022 +0300	Fix memory leak	commit 44b86aee31cabb35d0ebd6ee0e7fd9c365c7c50cAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Jul 25 12:04:46 2022 +0300    Fix memory leak        Fixes oss-fuzz #49272
c6eb5dc5fd	f6aa7a4960	Mon Jul 18 15:40:11 2022 +0300	Fix possible crash in case of exception	commit c6eb5dc5fdf8373b3f6cd1c121100cad7e75f69aAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Jul 18 15:40:11 2022 +0300    Fix possible crash in case of exception        Fixes oss-fuzz #49068
f24548e217	d0962859f4	Mon Jul 18 15:11:02 2022 +0300	Fix invalid free() during type persistence	commit f24548e21763eea9e8fb80e1c58c388ea52ab086Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Jul 18 15:11:02 2022 +0300    Fix invalid free() during type persistence        Fixes oss-fuzz #49042
82d3ad64df	4b38779a48	Mon Jul 18 14:20:06 2022 +0300	Fix type inference	commit 82d3ad64df7f2f20285afd9f65cf233bb924a6b0Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Jul 18 14:20:06 2022 +0300    Fix type inference        Fixes oss-fuzz #48908
bd30eff5de	d830a1f6f0	Mon Jul 18 13:14:15 2022 +0300	Fix type inference for FETCH_DI_UNSET	commit bd30eff5deefdd2bf33fd5d9023c00496edac941Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Jul 18 13:14:15 2022 +0300    Fix type inference for FETCH_DI_UNSET        Fixes oss-fuzz #48507
fa75bd0785	3d4a55fea1	Mon Jun 20 11:30:07 2022 +0300	Fix incorrect constant propagation for VERIFY_RETURN_TYPE	commit fa75bd078511c80c8be655719c7681fa65798c13Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Jun 20 11:30:07 2022 +0300    Fix incorrect constant propagation for VERIFY_RETURN_TYPE        This fixes oss-fuzz #48104
229e80c6ef	e330f443c9	Mon Jun 20 10:59:37 2022 +0300	Fix memory leak	commit 229e80c6ef507cc26dbd02f0b392f270e1fb6ebeAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Jun 20 10:59:37 2022 +0300    Fix memory leak        This fixes oss-fuzz #48051
971b07ea60	70e0e1ada6	Tue Jun 14 15:03:50 2022 +0300	JIT: Fix incorrect reference-counting	commit 971b07ea60172a80ee308e91c7a7912eea8a571fAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Tue Jun 14 15:03:50 2022 +0300    JIT: Fix incorrect reference-counting        This fixes oss-fuzz #47937
1cd8074743	0b8e471b3c	Tue Jun 14 13:57:44 2022 +0300	JIT: Fix missing register store	commit 1cd8074743d1a13529cf2dbd72bfb2b0ea0ffe25Author: Dmitry Stogov <dmitry@zend.com>Date:   Tue Jun 14 13:57:44 2022 +0300    JIT: Fix missing register store        This fixes oss-fuzz #48023
0b8e471b3c	445d9502bf	Tue Jun 14 12:44:37 2022 +0300	Fix use after free	commit 0b8e471b3c358271a5316196bf9f370039d965c4Author: Dmitry Stogov <dmitry@zend.com>Date:   Tue Jun 14 12:44:37 2022 +0300    Fix use after free        This fixes oss-fuzz #47997
729be469ae	1b45efb6fb	Tue Jun 14 11:59:35 2022 +0300	Fix type inference	commit 729be469ae1c50251607b8978647f8b510b45b46Author: Dmitry Stogov <dmitry@zend.com>Date:   Tue Jun 14 11:59:35 2022 +0300    Fix type inference        This dixes oss-fuzz #47921
1b45efb6fb	4b8bbfb6db	Tue Jun 14 10:20:45 2022 +0300	Fix type inference	commit 1b45efb6fb9dd37c2c6f2079ba2ab851f12e84e0Author: Dmitry Stogov <dmitry@zend.com>Date:   Tue Jun 14 10:20:45 2022 +0300    Fix type inference        This fixes oss-fuzz #47920
088e5677fb	e864cb61a7	Mon Jun 6 11:35:01 2022 +0300	Fix memory leak	commit 088e5677fbfa41d0c66d756e3076b30c500db126Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Jun 6 11:35:01 2022 +0300    Fix memory leak        This fixes oss-fuzz #47791
b86c6245cc	98e1291b7e	Mon Jun 6 11:13:53 2022 +0300	Fix type inference	commit b86c6245cc7dd739a526c29748725b59926b17ccAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Jun 6 11:13:53 2022 +0300    Fix type inference        This fixes oss-fuzz #47777
3a8912fb7c	591bd1186f	Mon May 30 11:32:17 2022 +0300	Fix memory leak	commit 3a8912fb7c97ea5a8490037d45224230be10625dAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon May 30 11:32:17 2022 +0300    Fix memory leak        This fixes oss-fuzz #47648
f135ed9a8a	45e623da26	Mon May 23 13:33:20 2022 +0300	Fix memory leak	commit f135ed9a8a5da2968be8cf534c21882d274d10fbAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon May 23 13:33:20 2022 +0300    Fix memory leak        This fixes oss-fuzz #47527
84ea0aa684	05375602a7	Mon May 16 13:45:31 2022 +0300	Fix memory leak	commit 84ea0aa6840b814f84b241e151472a352616b314Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon May 16 13:45:31 2022 +0300    Fix memory leak        This fixes oss-fuzz #47448
05375602a7	5a39f4c7cc	Mon May 16 12:41:25 2022 +0300	Fix type inference	commit 05375602a756e8ca7220480bdb8cec5b8bdd1f0dAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon May 16 12:41:25 2022 +0300    Fix type inference        This fixes oss-fuzz #47422
84c1e99ecf	f1fc58ed8d	Wed May 11 12:39:26 2022 +0300	Fix type inference	commit 84c1e99ecfc8c5e025f07573f033cc60ccae8db3Author: Dmitry Stogov <dmitry@zend.com>Date:   Wed May 11 12:39:26 2022 +0300    Fix type inference        This fizes oss-fuzz #47044
3f1e1b9ddf	23a2030438	Wed May 11 12:09:11 2022 +0300	Fix type inference	commit 3f1e1b9ddfd5f7fe7706347109df14b261cf0855Author: Dmitry Stogov <dmitry@zend.com>Date:   Wed May 11 12:09:11 2022 +0300    Fix type inference        This fixes oss-fuzz #47049
b1b79c74fb	82eea0efc9	Wed May 11 11:43:01 2022 +0300	Fix memory leak	commit b1b79c74fb529bc4faf350ed3f883ae6b8485587Author: Dmitry Stogov <dmitry@zend.com>Date:   Wed May 11 11:43:01 2022 +0300    Fix memory leak        This fixes oss-fuzz #47088
948ef10dd0	1aa5e9392d	Mon Apr 25 13:31:01 2022 +0300	Fix ISSET_ISEMPTY_VAR missoptimization	commit 948ef10dd0f9ad5781f906d8a75f00ac1af059bdAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Apr 25 13:31:01 2022 +0300    Fix ISSET_ISEMPTY_VAR missoptimization        This fixes oss-fuzz #46909
3e78964742	8286de2fd3	Mon Apr 25 12:15:55 2022 +0300	Fix type inference	commit 3e78964742c05f6529615a48f75cbde7f7b3a1e2Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Apr 25 12:15:55 2022 +0300    Fix type inference        Use MAY_BE_NULL result (insted of empty) for ASSIGN_DIM with invalid arguments    This fixes oss-fuzz #46840
8286de2fd3	a74b865123	Mon Apr 25 11:16:10 2022 +0300	Fix type narrowing warning during type inference of ZEND_FETCH_DIM_W	commit 8286de2fd38215a4743aa9a9790f2bca951aa1bfAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Apr 25 11:16:10 2022 +0300    Fix type narrowing warning during type inference of ZEND_FETCH_DIM_W        Fixes oss-fuzz #45820
c3a30544ad	04e59c916f	Mon Apr 18 11:34:18 2022 +0300	JIT: Fixed incorrect guard	commit c3a30544ada06b2de681991308b2e8212a912689Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Apr 18 11:34:18 2022 +0300    JIT: Fixed incorrect guard        Fixes oss-fuzz #46704
6ed3b57e67	fbb7393997	Mon Apr 18 10:33:52 2022 +0300	Fix incorrect constant propagation for VERIFY_RETURN_TYPE	commit 6ed3b57e67cd9c6314b8c34efd1cd2314ff81208Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Apr 18 10:33:52 2022 +0300    Fix incorrect constant propagation for VERIFY_RETURN_TYPE        Fixes oss-fuzz #46616
b08aac0451	1762a87932	Fri Apr 15 22:14:44 2022 +0200	Fix inference for assignment of known object to reference	commit b08aac0451d4f421be3cbfea235ac61613e07196Author: Nikita Popov <nikita.ppv@gmail.com>Date:   Fri Apr 15 22:14:44 2022 +0200    Fix inference for assignment of known object to reference        We cannot retain the ce information in that case, we have to    assume the ce may change indirectly through the reference.        Fixes oss-fuzz #46720.
3aaf2f6f89	5b048dd05c	Mon Apr 11 12:17:05 2022 +0300	JIT: Fix memory lek	commit 3aaf2f6f897d879030e14ac048d6f4f288fe4564Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Apr 11 12:17:05 2022 +0300    JIT: Fix memory lek        Fixes oss-fuzz #46462
5b048dd05c	9af3759987	Mon Apr 11 11:42:01 2022 +0300	Tracing JIT: Fixed incorrect assumption about stack slot type	commit 5b048dd05cf2fb7922be87cb99805877eb5bd060Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Apr 11 11:42:01 2022 +0300    Tracing JIT: Fixed incorrect assumption about stack slot type        Fixes oss-fuzz #46404
df0c8aaee9	afd8f84c1a	Mon Apr 4 16:47:47 2022 +0300	JIT: Fix array clobbering by user error handler	commit df0c8aaee99bf7361420bca85db67d3f434bdcccAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Apr 4 16:36:25 2022 +0300    JIT: Fix array clobbering by user error handler        Fixes oss-fuzz #46336
c489e360a6	c0bb238483	Mon Apr 4 16:36:25 2022 +0300	JIT: Fix array clobbering by user error handler	commit c489e360a67e8d523b001be3140195c2e4bc7473Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Apr 4 16:36:25 2022 +0300    JIT: Fix array clobbering by user error handler        Fixes oss-fuzz #46336
c0bb238483	9cb512ecc1	Mon Apr 4 15:34:02 2022 +0300	Fixed reference counting inference	commit c0bb238483229fd08282a124074a5cef09b52a6cAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Apr 4 15:34:02 2022 +0300    Fixed reference counting inference        Fixes oss-fuzz #46084
0d44bbd212	13649451c2	Mon Apr 4 14:20:45 2022 +0300	JIT: Fixed incorrect code generation	commit 0d44bbd212c34f57fad3429d0ecdf43c8d98d2d9Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Apr 4 14:20:45 2022 +0300    JIT: Fixed incorrect code generation        Fixes oss-fuzz #46328
14fddd17df	e4c7ffc152	Mon Apr 4 12:03:39 2022 +0300	Fix arsort() crash on recursion	commit 14fddd17df97c6f16faf593b7f224c9891ef27dcAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Apr 4 12:03:39 2022 +0300    Fix arsort() crash on recursion        Fixes oss-fuzz #46315
aa352c2c54	cf83bdd925	Fri Mar 25 16:54:50 2022 +0300	JIT: Fixed memory leak	commit aa352c2c540cfa0ddd3ddb369d4beb4963d3b2b6Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Mar 25 16:54:50 2022 +0300    JIT: Fixed memory leak        Fixes oss-fuzz #45981
cf83bdd925	e9fc81a2f8	Mon Mar 21 16:08:52 2022 +0300	JIT: Fix register clobbering	commit cf83bdd925bc039ea81a2ccddec6547d51b841dcAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Mar 21 16:08:52 2022 +0300    JIT: Fix register clobbering        Fixes oss-fuzz #45590
e9fc81a2f8	7051dc3372	Mon Mar 21 13:34:46 2022 +0300	JIT: Fix missing type store	commit e9fc81a2f8553a4add48933c7c935912bad9f6fbAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Mon Mar 21 13:34:46 2022 +0300    JIT: Fix missing type store        Fixes oss-fuzz #45604
7051dc3372	3d6a7e2bd5	Mon Mar 21 12:50:30 2022 +0300	JIT: Fix memory leak	commit 7051dc33729503a8814ed3dfe8492cb6ed081594Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Mar 21 12:50:30 2022 +0300    JIT: Fix memory leak        Fixes oss-fuzz #45658
3d6a7e2bd5	d0417ebc93	Fri Mar 18 18:54:47 2022 +0300	JIT: Fix missing exception handling	commit 3d6a7e2bd5edad4243dd3c1780dcad0ff6004f3eAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Fri Mar 18 18:54:47 2022 +0300    JIT: Fix missing exception handling        Fixes oss-fuzz #45649
2b7431cf5b	e20f955e44	Mon Mar 14 12:57:37 2022 +0300	Fix memory leak	commit 2b7431cf5b2157c71265616c46a455212cf949d5Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Mar 14 12:57:37 2022 +0300    Fix memory leak        Fixed oss-fuzz #45535
e20f955e44	9792f0db76	Mon Mar 14 11:46:45 2022 +0300	JIT: Fix register allocation	commit e20f955e44bdfef974ea3b3fc3e13abc97403471Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Mar 14 11:46:45 2022 +0300    JIT: Fix register allocation        Fixes oss-fuzz #45487
9792f0db76	2b2aeb989e	Mon Mar 14 09:48:58 2022 +0300	JIT: Fix type store	commit 9792f0db76c25af41fbde37265d3125996a64e71Author: Dmitry Stogov <dmitry@zend.com>Date:   Mon Mar 14 09:48:58 2022 +0300    JIT: Fix type store        Fixes oss-fuzz #45190
770a544af4	f7608df78d	Fri Mar 11 14:30:27 2022 +0300	Optimizer: Fix inorrect constant substitution in FETCH_LIST_R	commit 770a544af4c0c3dcff115e60b607f8782a7d21d4Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Mar 11 14:30:27 2022 +0300    Optimizer: Fix inorrect constant substitution in FETCH_LIST_R        Fixes oss-fuzz #45429
151d2ac5ae	7eb972c456	Fri Mar 11 11:32:23 2022 +0300	Fixed memory leak	commit 151d2ac5ae73ebc0fc5613b6f821f433e6f3aac3Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Mar 11 11:32:23 2022 +0300    Fixed memory leak        Fixes oss-fuzz #45191
c6a53f9499	f16d35cfe9	Fri Mar 11 10:50:31 2022 +0300	Fix non-reentirant startiong or error recording from error handler	commit c6a53f9499ea85758d3b0fad040dbe69929e8af5Author: Dmitry Stogov <dmitry@zend.com>Date:   Fri Mar 11 10:50:31 2022 +0300    Fix non-reentirant startiong or error recording from error handler        Fixes oss-fuzz #45398
01702a851b	70f7e7d83f	Tue Mar 1 01:33:22 2022 +0300	Fix use after free	commit 01702a851b3902ac043d634f8cd7452edb26df1bAuthor: Dmitry Stogov <dmitry@zend.com>Date:   Tue Mar 1 01:33:22 2022 +0300    Fix use after free        Fixes oss-fuzz #44885
